primaryName,birthYear,nconst,deathYear,primaryProfession,knownForTitles,Ethnicity
Adrian Alonso,1994,nm1739844,\N,actor,"tt2280066,tt0368517,tt0796307,tt0386140",NA
Adrian Dunbar,1958,nm0001160,\N,"actor,producer,soundtrack","tt0097937,tt0104036,tt0102014,tt2303687",NA
Adrián Fondari,\N,nm1096668,\N,actor,"tt0318765,tt4562518,tt0303396,tt9047474",NA
Adrian G. Griffiths,1964,nm0002343,\N,"actor,stunts,director","tt0118480,tt3385516,tt0458525,tt0822854",NA
Adrian Grenier,1976,nm0004978,\N,"actor,producer,director","tt1674771,tt0387199,tt0458352,tt0164114","*father – English, Irish, Scottish, German, remote French
*mother – Mexican [Spanish, Indigenous], as well as possibly 1/8th French"
Adrian Holmes,1974,nm0391738,\N,"actor,producer","tt1259521,tt0368578,tt1535108,tt5758778",NA
Adrian Hough,\N,nm0396406,\N,actor,"tt2175563,tt0432291,tt7569592,tt6053512",NA
Adrian Lee,\N,nm1685472,\N,"actress,producer","tt1000017,tt0319969,tt1104052,tt0406038",NA
Adrian Lester,1968,nm0504412,\N,"actor,director,soundtrack","tt0319262,tt0483607,tt0379632,tt0119942",NA
Adrian Pasdar,1965,nm0664499,\N,"actor,director,soundtrack","tt0092099,tt0093605,tt10974332,tt0106519","*father – Iranian
*mother – German, likely some Polish"
Adrian Paul,1959,nm0001600,\N,"actor,producer,director","tt0144964,tt2193021,tt0812352,tt0473364",NA
Adrian Schiller,1964,nm0771621,\N,actor,"tt0810784,tt3361792,tt2771200,tt3077214",NA
Adrian Voo,\N,nm5043090,\N,"actor,writer,producer","tt1270797,tt4265508,tt5779540,tt5292624",NA
Adriana Barraza,1956,nm0056770,\N,"miscellaneous,director,actress","tt0449467,tt0800369,tt1206885,tt1127180",Mexican
Adriana Lima,1981,nm0992596,\N,"actress,producer,director","tt5164214,tt0285104,tt0460649,tt0805669","Brazilian [Portuguese, some Indigenous, Swiss, African, and Japanese]"
Adrianne Palicki,1983,nm1597316,\N,"actress,soundtrack","tt0758745,tt2911666,tt1038686,tt1583421","*father – Polish, Hungarian
*mother – German, English"
Adrien Brody,1973,nm0004778,\N,"actor,producer,soundtrack","tt2278388,tt0253474,tt1605783,tt1683526","*75% Ashkenazi Jewish
*25% Hungarian"
Adrien Dorval,1963,nm0234235,2021,actor,"tt0120901,tt0296572,tt0184894,tt1259571",NA
Adrienne Barbeau,1945,nm0000105,\N,"actress,soundtrack","tt0080749,tt0090685,tt0083767,tt0082340","*50% Armenian
*37.5% German
*6.25% French/French-Canadian
*6.25% Irish"
Adrienne Houghton,1983,nm1169619,\N,"actress,soundtrack,director","tt0338852,tt1018785,tt0800318,tt0393162",NA
Adrienne Wilkinson,1977,nm0929330,\N,"producer,actress,director","tt2621446,tt2930604,tt9382172,tt1024923","Irish, English, Scottish, Danish, German, possibly Cherokee Native American"
Agata Buzek,1976,nm0125588,\N,"actress,music_department,producer","tt4827558,tt1893256,tt1514837,tt4370784",NA
Agnes Bruckner,1985,nm0115671,\N,"actress,producer,soundtrack","tt0264935,tt0417614,tt0397044,tt2515242","Russian, Hungarian, German"
Agustín Silva,\N,nm2927993,\N,actor,"tt1187044,tt4004092,tt1929308,tt2332579",NA
Ahmad Harhash,\N,nm14190201,\N,actor,tt7651298,NA
Ahmad Khan Mahmoodzada,1997,nm2520301,\N,actor,"tt0419887,tt1856938",NA
Ahmad Razvi,\N,nm1953498,\N,"actor,producer,director","tt0464105,tt4079308,tt1063328,tt0990404",NA
Ahmaogak Sweeney,\N,nm4577626,\N,actor,tt1430615,NA
Aidan Andrews,\N,nm4089510,\N,actor,"tt1860353,tt0395843,tt2481554,tt2589362",NA
Aidan Bristow,\N,nm3094339,\N,"actor,producer,director","tt9827854,tt10417512,tt7235466,tt1844624",NA
Aidan Gillen,1968,nm0318821,\N,"actor,writer,producer","tt4500922,tt1345836,tt0944947,tt4046784",Irish
Aidan Mitchell,1993,nm2006937,\N,actor,"tt0496343,tt0473709,tt0326965,tt0481583",NA
Aidan Quinn,1959,nm0001644,\N,"actor,producer,director","tt0817177,tt0120791,tt0110322,tt0106387",Irish
Aiden Flowers,2004,nm5583008,\N,actor,"tt1935859,tt6643608,tt1596363,tt2632424",NA
Aiko Horiuchi,\N,nm2998248,\N,"actress,writer,costume_department","tt1053859,tt23396942,tt2383014,tt1982759",NA
Aimee-Lynn Chadwick,\N,nm1449512,\N,"actress,soundtrack,composer","tt0411805,tt4267448,tt13919562,tt0356470",NA
Aimee Garcia,\N,nm0305083,\N,"actress,soundtrack,writer","tt1445201,tt1234721,tt0773262",NA
Aimee Graham,\N,nm0333888,\N,"actress,producer,director","tt0212235,tt0116367,tt6643984,tt0119396",NA
Aimee McKay,\N,nm4401508,\N,"actress,writer,producer","tt0367279,tt5486088,tt1845307,tt3118452",NA
Aimee Teegarden,\N,nm1631435,\N,"actress,producer,soundtrack","tt5519574,tt0758745,tt2657262,tt0498381",NA
Aishwarya Rai Bachchan,1973,nm0706787,\N,"actress,soundtrack,producer","tt0150992,tt0441048,tt0238936,tt0449994",Tuluva Indian
AJ Bowen,1977,nm1410105,\N,"actor,producer,writer","tt2383068,tt0780607,tt1853739,tt1172994",NA
AJ Michalka,1991,nm1404488,\N,"actress,soundtrack,producer","tt0380510,tt3061046,tt2349460,tt1650062",NA
Aja Evans,\N,nm2163182,\N,actress,"tt1489428,tt1239459,tt1345836,tt0369179",NA
Akasha Villalobos,1982,nm3413730,\N,"actress,producer,camera_department",tt4520340,NA
Akeem Smith,1984,nm1576004,\N,"actor,miscellaneous","tt1567432,tt0313043,tt2158531,tt0058796",NA
Akron Watson,\N,nm2868550,\N,"actor,producer","tt5344132,tt3228904,tt11394158,tt4655480",NA
Akuyoe Graham,\N,nm0015618,\N,"actress,producer","tt0469062,tt0109447,tt0163651,tt3901260",NA
Al Burke,\N,nm0121582,\N,"actor,stunts,transportation_department","tt8151874,tt0120888,tt1716777,tt0306685",NA
Al Jackson,\N,nm0413250,\N,"actor,miscellaneous,producer","tt3482362,tt3829592,tt4712710,tt3394592",NA
Al Pacino,1940,nm0000199,\N,"actor,director,soundtrack","tt0068646,tt0070666,tt0099422,tt0072890","Italian [Sicilian, some Neapolitan]"
Al Santos,1976,nm0763960,\N,"actor,producer","tt0765429,tt0301470,tt0395843,tt0247104",NA
Al Thompson,\N,nm0859824,\N,"actor,producer,stunts","tt1195935,tt0265666,tt10696784,tt0281358",NA
Al Vicente,\N,nm0015673,\N,"actor,director,writer","tt1086064,tt3502248,tt18070984,tt1520211",NA
Alaadin Khasawneh,\N,nm5350324,\N,"casting_department,actor,producer","tt2391089,tt1935302,tt4034452,tt4827878",NA
Alain Moussi,1981,nm3857692,\N,"stunts,actor,producer","tt5208950,tt1386697,tt9624766,tt3082898","*Lebanese (father)
*French-Canadian (mother)"
Alakina Mann,1990,nm0542635,\N,actress,"tt0361642,tt0335119,tt0360753,tt0230600",NA
Alan Alda,1936,nm0000257,\N,"actor,miscellaneous,soundtrack","tt7653254,tt0068098,tt0097123,tt0082405","*Italian (father)
*Irish (mother)"
Alan Arkin,1934,nm0000273,2023,"actor,soundtrack,director","tt0449059,tt0099487,tt0104348,tt1024648",Ashkenazi Jewish
Alan Bagh,\N,nm3180472,\N,"actor,producer,writer","tt13668894,tt1266020,tt10196720,tt3686708",NA
Alan Blumenfeld,1952,nm0089781,\N,"actor,producer,soundtrack","tt0101055,tt0813715,tt0086567,tt1034331",NA
Alan Cumming,1965,nm0001086,\N,"actor,producer,soundtrack","tt0362165,tt0254099,tt0113189,tt0290334",Scottish
Alan Fung,\N,nm3936431,\N,"actor,writer,stunts","tt14246504,tt1764651,tt1662534",NA
Alan Gelfant,1957,nm0312297,\N,actor,"tt0179526,tt0115986,tt0166276,tt0119778",NA
Alan Gryfe,\N,nm1052544,\N,actor,tt0273300,NA
Alan Madlane,1957,nm0535040,\N,actor,"tt0116371,tt0850247,tt2433040,tt2575290",NA
Alan McKenna,\N,nm0571326,\N,"actor,writer,producer","tt0374853,tt1959563,tt1514041,tt2404181",NA
Alan Powell,\N,nm3466196,\N,"actor,producer,writer","tt6177442,tt11388278,tt2517044,tt1276110",NA
Alan Rickman,1946,nm0000614,2016,"actor,soundtrack,writer","tt0095016,tt0102798,tt0408236,tt0177789","English, Irish, Welsh"
Alan Ritchson,1982,nm2024927,\N,"actor,producer,writer","tt1291150,tt1951264,tt3949660,tt5433140",NA
Alan Rosenberg,1950,nm0742165,\N,"actor,director,soundtrack","tt0080117,tt0095497,tt0097889,tt0111932",NA
Alan Scarfe,1946,nm0769154,\N,actor,"tt0213327,tt0104714,tt0101764,tt0324864",NA
Alan Smyth,1972,nm0810770,\N,actor,"tt4333210,tt4712652",NA
Alan T. Coleman,1970,nm2910826,2021,actor,"tt1262918,tt1399045,tt0455275,tt4855114",NA
Alan Tudyk,1971,nm0876138,\N,"actor,writer,producer","tt3748528,tt0183790,tt0343818,tt0303461","*father – Polish
*mother – English, German, Scottish, French, Dutch"
Alan Van Sprang,1971,nm0888022,\N,"actor,producer,miscellaneous","tt1253864,tt0848557,tt0489270,tt0272207",*Dutch (father)
Alana De La Garza,1976,nm1004211,\N,actress,"tt0098844,tt0279600,tt0416051,tt4364202","*Mexican (father)
*Irish (mother)"
Alana Dietze,\N,nm3678589,\N,actress,"tt11662818,tt1584943,tt1541800,tt3347848",NA
Alana O'Brien,\N,nm2681687,\N,"actress,casting_department","tt5462720,tt4118584,tt4998350,tt2578508",NA
Alasha Wright,\N,nm2505002,\N,actress,tt0933876,NA
Alassane Sy,\N,nm1625806,\N,"actor,director,producer","tt1545464,tt5775354,tt8242184,tt10416008",NA
Albert Brooks,1947,nm0000983,\N,"actor,soundtrack,writer","tt0780504,tt0101698,tt0092699,tt0089504",Ashkenazi Jewish
Albert Finney,1936,nm0001215,2019,"actor,producer,soundtrack","tt0319061,tt0071877,tt0195685,tt0066344","English, likely some Irish"
Alden Ehrenreich,1989,nm2403277,\N,"actor,director,writer","tt3778644,tt1559547,tt0475290,tt2334873","*87.5% Ashkenazi Jewish
*12.5% British Isles"
Aldevina Da Silva,1985,nm2058025,\N,actress,"tt0096597,tt1454964,tt0481273,tt0929655",NA
Alec Baldwin,1958,nm0000285,\N,"actor,producer,soundtrack","tt0104348,tt0407887,tt0318374,tt1230414","English, Irish, Scottish, 1/16th French-Canadian, 1/16th German"
Alec Mansky,\N,nm6794273,\N,actor,tt2992000,NA
Alec Newman,1974,nm0627995,\N,"actor,writer,soundtrack","tt4179452,tt11725900,tt12758486,tt1492179",NA
Alec Owen,\N,nm2684020,\N,"actor,writer,composer","tt3699692,tt7370554",NA
Alecia Hamilton,\N,nm3262455,\N,"actress,producer,writer","tt3912040,tt1889650,tt3848472,tt1735979",NA
Alejandro Goic,1957,nm0324766,\N,"actor,writer,soundtrack","tt2059255,tt3328948,tt4375438,tt1187044",NA
Alejandro Polanco,\N,nm2597353,\N,actor,"tt1543524,tt0990404,tt2393687",NA
Aleksa Palladino,1980,nm0657760,\N,"actress,soundtrack,composer","tt0979432,tt0292963,tt2543312",*mother – Italian [including Sicilian]
Aleksandr Kuznetsov,1959,nm0476821,2019,"actor,writer,producer","tt0186566,tt0218080,tt0372183,tt0119874",NA
Aleksey Chadov,1981,nm1128120,\N,"actor,writer,director","tt0409904,tt0403358,tt0309047,tt0417397",NA
Alena von Stroheim,\N,nm4131513,\N,actress,"tt2298372,tt3140724,tt3449006,tt2631072",NA
Alessandra Torresani,1987,nm0003779,\N,"actress,producer","tt0898266,tt8712204,tt1844624,tt4052886","3/8ths Polish, one eighth Tyrolean Italian, along with German, Irish, English, some Welsh"
Alessandro Juliani,1975,nm0432228,\N,"actor,soundtrack,composer","tt0770828,tt3450958,tt0460745,tt0409459",NA
Alessandro Nivola,1972,nm0005273,\N,"actor,producer,soundtrack","tt8110232,tt6108178,tt1800241,tt0119094","*25% Italian/Sardinian
*25% Ashkenazi Jewish
*50% English/Scottish"
Alex Arleo,1987,nm3175913,\N,"actor,miscellaneous","tt2439946,tt2396701,tt2724064,tt2372989",NA
Alex Cioalca,\N,nm3709942,\N,actor,tt0330634,NA
Alex D. Linz,1989,nm0513281,\N,actor,"tt0289765,tt0117247,tt0120855,tt0119303","*German, some Irish and English (father)
*Ashkenazi Jewish (mother)"
Alex Datcher,1962,nm0202131,\N,actress,"tt0109760,tt0092455,tt0221728,tt0105104",NA
Alex Descas,1958,nm0220976,\N,actor,"tt0204700,tt0379217,tt1135092,tt0100536",NA
Alex Etel,1994,nm1375020,\N,"actor,miscellaneous","tt1031241,tt0974077,tt0366777,tt0760329",NA
Alex Fisher,\N,nm2899650,\N,actor,"tt0482606,tt1615012",NA
Alex Frost,1987,nm1372713,\N,actor,"tt1975159,tt0496673,tt0363589,tt0817538",NA
Alex Greenblatt,\N,nm1944862,\N,actor,"tt1426362,tt1189259",NA
Alex Hernandez,\N,nm3221639,\N,"actor,miscellaneous","tt8965736,tt7579962,tt3196158,tt1200272",NA
Alex Hyde-White,1959,nm0405033,\N,"actor,producer,director","tt0097576,tt0100405,tt0109770,tt0264464",NA
Alex Jennings,1957,nm0421105,\N,"actor,soundtrack","tt0120520,tt3722070,tt0449467,tt0436697",NA
Alex Kaluzhsky,1984,nm2191189,\N,"actor,editor,director","tt1111422,tt3250612,tt1294213,tt1512504",Ashkenazi Jewish
Alex Karpovsky,1975,nm1493163,\N,"actor,director,producer","tt2147048,tt2292903,tt1723816,tt3212910",NA
Alex Kendrick,1970,nm1731937,\N,"actor,writer,editor","tt1630036,tt0425027,tt0805526,tt1129423","English, small amount of French"
Alex McArthur,1957,nm0564107,\N,"actor,cinematographer","tt0119468,tt0089015,tt0143213,tt0118883",NA
Alex Meneses,1965,nm0005224,\N,"actress,producer","tt0115167,tt0120094,tt9617560,tt3566726","*father – Mexican
*mother – Ukrainian, possibly some Polish"
Alex Moffat,1982,nm5803981,\N,"actor,director,soundtrack","tt5848272,tt3219194,tt1217217,tt9866072","Scottish, English, German, Polish"
Alex Neustaedter,1998,nm2614237,\N,actor,"tt3501590,tt4209256,tt5420886,tt5709188","*father – German, as well as English, Welsh, Scots-Irish/Northern Irish, and French
*mother – Croatian, Polish"
Alex O'Loughlin,1976,nm1533927,\N,"actor,producer,director","tt0365929,tt1600194,tt1212436,tt0426931",NA
Alex Parlar,1976,nm3094548,\N,actor,"tt0247082,tt2114358,tt0056758,tt1568769",NA
Alex Pettyfer,1990,nm1641117,\N,"actor,producer,director","tt1637688,tt1915581,tt2093991,tt0972544",English
