nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000124,Jennifer Connelly,1970,\N,"actress,producer","tt0102803,tt0315983,tt0268978,tt0180093"
nm0000125,Sean Connery,1930,2020,"actor,producer,soundtrack","tt0091605,tt0055928,tt0094226,tt0117500"
nm0000126,Kevin Costner,1955,\N,"actor,producer,soundtrack","tt0099348,tt0102798,tt0103855,tt0119925"
nm0000128,Russell Crowe,1964,\N,"actor,soundtrack,director","tt1707386,tt0172495,tt0268978,tt0119488"
nm0000129,Tom Cruise,1962,\N,"actor,producer,soundtrack","tt0116695,tt0325710,tt0092099,tt0120755"
nm0000130,Jamie Lee Curtis,1958,\N,"actress,producer,director","tt0111503,tt0120694,tt6710474,tt1502407"
nm0000131,John Cusack,1966,\N,"actor,producer,writer","tt0119229,tt0098258,tt0450385,tt0146882"
nm0000132,Claire Danes,1979,\N,"actress,producer,soundtrack","tt0108872,tt0274558,tt1796960,tt0117509"
nm0000134,Robert De Niro,1943,\N,"actor,producer,soundtrack","tt0077416,tt0075314,tt0101540,tt0081398"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0449088,tt0325980,tt0408236,tt0383574"
nm0000138,Leonardo DiCaprio,1974,\N,"producer,actor,soundtrack","tt0993846,tt0120338,tt0407887,tt1375666"
nm0000139,Cameron Diaz,1972,\N,"actress,producer,soundtrack","tt0160127,tt0129387,tt0259711,tt0119738"
nm0000140,Michael Douglas,1944,\N,"actor,producer,soundtrack","tt0094291,tt1291580,tt0181865,tt0093010"
nm0000141,David Duchovny,1960,\N,"actor,producer,director","tt0106179,tt0443701,tt0120902,tt0904208"
nm0000142,Clint Eastwood,1930,\N,"actor,producer,director","tt0405159,tt0105695,tt0112579,tt1205489"
nm0000143,Erika Eleniak,1969,\N,actress,"tt0106400,tt0105690,tt0083866,tt0094761"
nm0000144,Cary Elwes,1962,\N,"actor,producer,soundtrack","tt0093779,tt0387564,tt0119468,tt0107977"
nm0000145,Sherilyn Fenn,1965,\N,"actress,soundtrack","tt0105046,tt0106471,tt0100935,tt0098936"
nm0000146,Ralph Fiennes,1962,\N,"actor,director,producer","tt2278388,tt0387131,tt1372686,tt0108052"
nm0000147,Colin Firth,1960,\N,"actor,producer,soundtrack","tt1504320,tt1315981,tt2802144,tt0243155"
nm0000148,Harrison Ford,1942,\N,"actor,writer,producer","tt0082971,tt0090329,tt0106977,tt0076759"
nm0000149,Jodie Foster,1962,\N,"actress,director,producer","tt0075314,tt0094608,tt0102926,tt0476964"
nm0000151,Morgan Freeman,1937,\N,"actor,producer,soundtrack","tt0097239,tt0114369,tt0405159,tt1057500"
nm0000152,Richard Gere,1949,\N,"actor,soundtrack,producer","tt0084434,tt0299658,tt0119395,tt0100405"
nm0000153,Gina Gershon,1962,\N,"actress,soundtrack,producer","tt0114436,tt1726669,tt0115736,tt0431308"
nm0000154,Mel Gibson,1956,\N,"actor,producer,director","tt0104714,tt0112573,tt0118883,tt0117438"
nm0000155,Whoopi Goldberg,1955,\N,"actress,producer,writer","tt0105417,tt0088939,tt0099653,tt0108147"
nm0000156,Jeff Goldblum,1952,\N,"actor,soundtrack,producer","tt0091064,tt0107290,tt0116629,tt2278388"
nm0000157,Linda Hamilton,1956,\N,"actress,soundtrack","tt6450804,tt0118928,tt0103064,tt0088247"
nm0000158,Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0120815,tt0109830,tt0094737,tt0162222"
nm0000160,Ethan Hawke,1970,\N,"actor,producer,writer","tt0381681,tt2209418,tt0139654,tt0112471"
nm0000161,Salma Hayek,1966,\N,"actress,producer,soundtrack","tt0112851,tt0120679,tt0120891,tt1615065"
nm0000162,Anne Heche,1969,2022,"actress,producer,writer","tt0119008,tt0120828,tt0120461,tt0120885"
nm0000163,Dustin Hoffman,1937,\N,"actor,soundtrack,producer","tt0095953,tt0084805,tt0079417,tt0064665"
nm0000164,Anthony Hopkins,1937,\N,"actor,soundtrack,composer","tt0975645,tt0212985,tt0113987,tt0102926"
nm0000166,Helen Hunt,1963,\N,"actress,producer,director","tt0162222,tt0117998,tt0103484,tt0119822"
nm0000167,Elizabeth Hurley,1965,\N,"actress,producer","tt0145660,tt0105104,tt0118655,tt0230030"
nm0000168,Samuel L. Jackson,1948,\N,"actor,producer,soundtrack","tt0110912,tt0417148,tt3460252,tt4154664"
nm0000169,Tommy Lee Jones,1946,\N,"actor,director,soundtrack","tt0443272,tt2398231,tt0477348,tt0106977"
nm0000170,Milla Jovovich,1975,\N,"actress,soundtrack,producer","tt0120804,tt1220198,tt1220634,tt0119116"
nm0000171,Ashley Judd,1968,\N,"actress,producer,director","tt0470705,tt0113277,tt0119468,tt0150377"
nm0000172,Harvey Keitel,1939,\N,"actor,producer,soundtrack","tt0110912,tt2278388,tt0103759,tt0105236"
nm0000173,Nicole Kidman,1967,\N,"actress,producer,soundtrack","tt0203009,tt0935075,tt0159365,tt0274558"
nm0000174,Val Kilmer,1959,\N,"actor,soundtrack,producer","tt0101761,tt0235737,tt0373469,tt0120053"
nm0000176,Nastassja Kinski,1961,\N,"actress,producer,soundtrack","tt0111400,tt0083722,tt0080009,tt0087884"
nm0000177,Kevin Kline,1947,\N,"actor,soundtrack,director","tt0106673,tt0113117,tt0120891,tt0095159"
nm0000178,Diane Lane,1965,\N,"actress,soundtrack","tt2096673,tt0328589,tt0250797,tt0086066"
nm0000179,Jude Law,1972,\N,"actor,producer,soundtrack","tt2278388,tt0376541,tt0134119,tt0346156"
nm0000182,Jennifer Lopez,1969,\N,"music_artist,producer,actress","tt0120780,tt5503686,tt0252076,tt2126357"
nm0000183,Traci Lords,1968,\N,"actress,soundtrack,producer","tt0099329,tt0120611,tt1007028,tt1984153"
nm0000185,Dolph Lundgren,1957,\N,"actor,producer,director","tt0105698,tt0089927,tt0093507,tt0113481"
nm0000188,Steve Martin,1945,\N,"writer,actor,producer","tt0079367,tt0093886,tt0383216,tt0102250"
nm0000189,Jenny McCarthy-Wahlberg,1972,\N,"actress,producer,writer","tt0455967,tt0134084,tt0131857,tt0327643"
nm0000190,Matthew McConaughey,1969,\N,"actor,producer,soundtrack","tt1915581,tt1935179,tt0816692,tt0790636"
nm0000191,Ewan McGregor,1971,\N,"actor,producer,writer","tt2763304,tt1322269,tt0203009,tt0117951"
nm0000192,Alyssa Milano,1972,\N,"actress,producer,soundtrack","tt0086827,tt0088944,tt0116287,tt0158552"
nm0000193,Demi Moore,1962,\N,"actress,producer,soundtrack","tt0119173,tt0099653,tt0305357,tt0107211"
nm0000194,Julianne Moore,1960,\N,"actress,producer,soundtrack","tt0842926,tt0297884,tt0118749,tt0175880"
nm0000195,Bill Murray,1950,\N,"actor,soundtrack,writer","tt0335266,tt0128445,tt1748122,tt0362270"
nm0000196,Mike Myers,1963,\N,"actor,writer,soundtrack","tt0811138,tt0145660,tt0295178,tt0118655"
nm0000197,Jack Nicholson,1937,\N,"actor,soundtrack,producer","tt0407887,tt0119822,tt0071315,tt0073486"
nm0000198,Gary Oldman,1958,\N,"actor,producer,soundtrack","tt0468569,tt4555426,tt0103874,tt1340800"
nm0000199,Al Pacino,1940,\N,"actor,director,soundtrack","tt0068646,tt0070666,tt0099422,tt0072890"
nm0000200,Bill Paxton,1955,2017,"actor,producer,writer","tt0090605,tt0117998,tt0112384,tt0264616"
nm0000201,Michelle Pfeiffer,1958,\N,"actress,soundtrack,producer","tt0161081,tt0427327,tt0117247,tt0106226"
nm0000202,Ryan Phillippe,1974,\N,"actor,producer,director","tt0280707,tt0120577,tt0375679,tt0139134"
nm0000203,River Phoenix,1970,1993,"actor,soundtrack","tt0092005,tt0096018,tt0102494,tt0091557"
nm0000204,Natalie Portman,1981,\N,"actress,producer,soundtrack","tt0110413,tt0434409,tt0947798,tt0376541"
nm0000205,Parker Posey,1968,\N,"actress,soundtrack,writer","tt0359013,tt0348150,tt0106677,tt0134084"
nm0000206,Keanu Reeves,1964,\N,"actor,producer,soundtrack","tt0234215,tt0111257,tt0102685,tt0133093"
nm0000207,Christina Ricci,1980,\N,"actress,producer,soundtrack","tt0462200,tt0811080,tt0112642,tt0118789"
nm0000209,Tim Robbins,1958,\N,"actor,producer,director","tt0091225,tt0105151,tt0327056,tt0112818"
nm0000210,Julia Roberts,1967,\N,"actress,producer,soundtrack","tt0195685,tt0376541,tt0119738,tt0100405"
nm0000211,Mimi Rogers,1956,\N,"actress,producer,soundtrack","tt0118655,tt0120738,tt0210070,tt0488085"
nm0000212,Meg Ryan,1961,\N,"actress,producer,director","tt0120632,tt0128853,tt0108160,tt0098635"
nm0000213,Winona Ryder,1971,\N,"actress,producer,soundtrack","tt0110367,tt0172493,tt0100140,tt0099487"
nm0000214,Mia Sara,1967,\N,"actress,soundtrack","tt0111438,tt0312098,tt0091042,tt0089469"
nm0000215,Susan Sarandon,1946,\N,"actress,producer,soundtrack","tt0109446,tt0103074,tt0120686,tt0112818"
nm0000216,Arnold Schwarzenegger,1947,\N,"actor,producer,director","tt0088247,tt0107362,tt0103064,tt0216216"
nm0000218,Kristin Scott Thomas,1960,\N,"actress,soundtrack,director","tt0109831,tt0116209,tt0280707,tt1602613"
nm0000219,Steven Seagal,1952,\N,"actor,producer,writer","tt0110725,tt0105690,tt0094602,tt0114781"
nm0000220,Joan Severance,1958,\N,"actress,producer,miscellaneous","tt0143050,tt0112519,tt0099141,tt0098282"
nm0000221,Charlie Sheen,1965,\N,"actor,producer,soundtrack","tt0369179,tt0094291,tt0107144,tt0108333"
nm0000222,Brooke Shields,1965,\N,"actress,producer,soundtrack","tt0080116,tt0078111,tt0805570,tt0080453"
nm0000223,Elisabeth Shue,1963,\N,"actress,producer,soundtrack","tt0092513,tt0113627,tt0087538,tt0120053"
nm0000224,Alicia Silverstone,1976,\N,"actress,producer,soundtrack","tt0119086,tt0112697,tt0118688,tt0124298"
nm0000225,Christian Slater,1969,\N,"actor,producer,soundtrack","tt0108399,tt0102798,tt0124198,tt0115759"
nm0000226,Will Smith,1968,\N,"producer,actor,soundtrack","tt0480249,tt0119654,tt0098800,tt0116629"
nm0000227,Mira Sorvino,1967,\N,"actress,producer,soundtrack","tt0120008,tt0120032,tt0113819,tt0364343"
nm0000228,Kevin Spacey,1959,\N,"actor,producer,soundtrack","tt0114814,tt0169547,tt0119488,tt0114369"
nm0000230,Sylvester Stallone,1946,\N,"actor,writer,producer","tt0089927,tt0084602,tt0075148,tt3076658"
nm0000232,Sharon Stone,1958,\N,"actress,producer,soundtrack","tt0108162,tt0112641,tt0114214,tt0103772"
nm0000234,Charlize Theron,1975,\N,"producer,actress,soundtrack","tt5610554,tt0340855,tt1392190,tt1735898"
nm0000235,Uma Thurman,1970,\N,"actress,producer,soundtrack","tt0266697,tt0378194,tt0110912,tt0118688"
nm0000236,Jennifer Tilly,1958,\N,"actress,soundtrack,writer","tt0387575,tt0115736,tt0144120,tt0109348"
nm0000237,John Travolta,1954,\N,"actor,soundtrack,producer","tt0076666,tt0077631,tt0110912,tt0113161"
nm0000239,Liv Tyler,1977,\N,"actress,producer,soundtrack","tt0120737,tt0167260,tt0482606,tt0120591"
nm0000240,Skeet Ulrich,1970,\N,"actor,soundtrack,director","tt0117571,tt0115963,tt0913354,tt0409572"
nm0000241,Jean-Claude Van Damme,1960,\N,"actor,writer,producer","tt0101764,tt0097659,tt0119013,tt1130988"
nm0000242,Mark Wahlberg,1971,\N,"producer,actor,soundtrack","tt1637725,tt0407887,tt0964517,tt0118749"
nm0000243,Denzel Washington,1954,\N,"actor,producer,director","tt2671706,tt0139654,tt0168786,tt1037705"
nm0000244,Sigourney Weaver,1949,\N,"actress,soundtrack,producer","tt0118583,tt0078748,tt0499549,tt0095243"
nm0000245,Robin Williams,1951,2014,"actor,soundtrack,writer","tt0093105,tt0119217,tt0107614,tt0265459"
nm0000246,Bruce Willis,1955,\N,"actor,producer,soundtrack","tt0110912,tt0088571,tt0167404,tt0095016"
nm0000249,James Woods,1947,\N,"actor,producer,director","tt0119282,tt0086541,tt0120877,tt0159097"
nm0000250,Renée Zellweger,1969,\N,"actress,producer,soundtrack","tt0243155,tt0159365,tt0299658,tt0116695"
nm0000255,Ben Affleck,1972,\N,"producer,actor,writer","tt0119217,tt1024648,tt2267998,tt0840361"
nm0000257,Alan Alda,1936,\N,"actor,miscellaneous,soundtrack","tt7653254,tt0068098,tt0097123,tt0082405"
nm0000260,Joan Allen,1956,\N,"actress,producer,soundtrack","tt3170832,tt0452608,tt0115988,tt0113987"
nm0000261,Karen Allen,1951,\N,"actress,soundtrack,director","tt0367882,tt0088172,tt0077975,tt0082971"
nm0000263,Kirstie Alley,1951,2022,"actress,producer,writer","tt0084726,tt0114852,tt0157503,tt0097778"
nm0000267,Julie Andrews,1935,\N,"actress,soundtrack,writer","tt0084865,tt0062362,tt0059742,tt0058331"
nm0000268,Ann-Margret,1941,\N,"actress,soundtrack","tt0107050,tt0060646,tt0056891,tt0066892"
nm0000270,Gabrielle Anwar,1970,\N,"actress,producer,soundtrack","tt0108333,tt0114660,tt0105323,tt0810788"
nm0000271,Anne Archer,1947,\N,"actress,producer,soundtrack","tt0108122,tt0093010,tt0105112,tt0160009"
nm0000273,Alan Arkin,1934,2023,"actor,soundtrack,director","tt0449059,tt0099487,tt0104348,tt1024648"
nm0000274,David Arquette,1971,\N,"producer,actor,director","tt0120082,tt0151738,tt0271367,tt0134084"
nm0000275,Rosanna Arquette,1959,\N,"actress,producer,director","tt0088680,tt0089017,tt0110912,tt0190138"
nm0000276,Sean Astin,1971,\N,"actor,producer,director","tt0167261,tt0167260,tt0120737,tt0089218"
nm0000279,Hank Azaria,1964,\N,"actor,soundtrack,producer","tt0132347,tt1839481,tt0115685,tt0096697"
nm0000281,Scott Baio,1960,\N,"actor,director,producer","tt0270846,tt0070992,tt0281680,tt0367279"
nm0000282,Scott Bairstow,1970,\N,actor,"tt0120512,tt0283084,tt0182587,tt0119925"
nm0000284,Adam Baldwin,1962,\N,"actor,soundtrack","tt0116629,tt0093058,tt0379786,tt0187393"
nm0000285,Alec Baldwin,1958,\N,"actor,producer,soundtrack","tt0104348,tt0407887,tt0318374,tt1230414"
nm0000286,Stephen Baldwin,1966,\N,"actor,producer,director","tt0114814,tt0115683,tt0158622,tt0486583"
nm0000287,William Baldwin,1963,\N,"actor,producer,stunts","tt0367089,tt0113010,tt0108162,tt0101393"
nm0000288,Christian Bale,1974,\N,"actor,producer,soundtrack","tt0144084,tt1800241,tt0468569,tt0372784"
nm0000289,Ellen Barkin,1954,\N,"actress,producer","tt0092654,tt0157503,tt0086856,tt0116277"
nm0000291,Angela Bassett,1958,\N,"actress,producer,director","tt1825683,tt9114286,tt0114558,tt0118884"
nm0000293,Sean Bean,1959,\N,"actor,producer,animation_department","tt0944947,tt1181791,tt0120737,tt0167261"
nm0000295,Kate Beckinsale,1973,\N,"actress,producer,soundtrack","tt0320691,tt0338526,tt0401855,tt0452702"
nm0000297,Tom Berenger,1949,\N,"actor,producer,writer","tt0085244,tt1375666,tt0091763,tt0097815"
nm0000298,Candice Bergen,1946,\N,"actress,producer,soundtrack","tt0901476,tt0094514,tt0256415,tt0212346"
nm0000299,Michael Biehn,1956,\N,"actor,producer,director","tt0096754,tt0088247,tt0090605,tt1077258"
nm0000300,Juliette Binoche,1964,\N,"actress,art_department,miscellaneous","tt2452254,tt1219827,tt0116209,tt1020773"
nm0000301,Thora Birch,1982,\N,"actress,producer,director","tt0162346,tt0107120,tt0169547,tt0105112"
nm0000302,Jacqueline Bisset,1944,\N,"actress,soundtrack,producer","tt0061452,tt0062765,tt0071877,tt0088322"
nm0000307,Helena Bonham Carter,1966,\N,"actress,soundtrack,director","tt1504320,tt0408236,tt1707386,tt0137523"
nm0000310,Bruce Boxleitner,1950,\N,"actor,soundtrack,producer","tt0105946,tt1104001,tt0871427,tt0084827"
nm0000312,Amy Brenneman,1964,\N,"actress,producer,writer","tt0116287,tt0113277,tt0411061,tt0209069"
nm0000313,Jeff Bridges,1949,\N,"actor,soundtrack,producer","tt0088172,tt0118715,tt1263670,tt1403865"
nm0000317,Clancy Brown,1959,\N,"actor,soundtrack,producer","tt1179056,tt0111161,tt0409847,tt0120201"
nm0000319,Yancy Butler,1970,\N,"actress,producer","tt1250777,tt1650554,tt0107076,tt0274298"
nm0000321,Gabriel Byrne,1950,\N,"actor,producer,writer","tt0100150,tt0146675,tt0114814,tt7784604"
nm0000323,Michael Caine,1933,\N,"actor,producer,soundtrack","tt0482571,tt0124315,tt0468569,tt0258068"
nm0000325,David Caruso,1956,\N,"actor,producer","tt0261983,tt0099939,tt0228750,tt0083944"
nm0000326,Kim Cattrall,1956,\N,"actress,producer,soundtrack","tt0102975,tt1000774,tt0159206,tt1261945"
nm0000327,Lacey Chabert,1982,\N,"actress,producer,soundtrack","tt0277371,tt0377092,tt0120738,tt0454082"
nm0000329,Jackie Chan,1954,\N,"producer,actor,stunts","tt0089374,tt0266915,tt0127357,tt0120812"
nm0000330,Stockard Channing,1944,\N,"actress,soundtrack","tt0108149,tt0077631,tt0120791,tt0198021"
nm0000332,Don Cheadle,1964,\N,"actor,producer,soundtrack","tt0790770,tt0375679,tt1540133,tt0395169"
nm0000333,Cher,1946,\N,"music_artist,soundtrack,actress","tt1126591,tt0100140,tt0093565,tt0089560"
nm0000334,Chow Yun-Fat,1955,\N,"actor,writer,soundtrack","tt0120008,tt0473444,tt1098327,tt0190332"
nm0000335,Glenn Close,1947,\N,"actress,soundtrack,producer","tt2015381,tt0094947,tt3750872,tt0093010"
nm0000336,James Coburn,1928,2002,"actor,producer,director","tt0054047,tt0056923,tt0118564,tt0057115"
nm0000337,Rachael Leigh Cook,1979,\N,"actress,producer,writer","tt5659816,tt0331811,tt0160862,tt11100856"
nm0000342,James Cromwell,1940,\N,"actor,producer,soundtrack","tt0120689,tt0117731,tt0119488,tt0144214"
nm0000343,David Cronenberg,1943,\N,"actor,director,writer","tt0115964,tt0091064,tt0120907,tt0094964"
nm0000344,Denise Crosby,\N,\N,"actress,producer","tt0098084,tt0097889,tt0120647,tt0104119"
nm0000345,Billy Crystal,1948,\N,"actor,writer,producer","tt0098635,tt0101587,tt0122933,tt0113097"
nm0000346,Macaulay Culkin,1980,\N,"actor,producer,director","tt0102492,tt0099785,tt0107034,tt0104431"
nm0000347,Tim Curry,1946,\N,"actor,soundtrack,producer","tt0112715,tt0073629,tt0088930,tt0108333"
nm0000349,Joan Cusack,1962,\N,"actress,soundtrack,writer","tt0119229,tt0119360,tt0096463,tt1659337"
nm0000350,Beverly D'Angelo,1951,\N,"actress,soundtrack,producer","tt0085995,tt0097958,tt0120586,tt0120434"
nm0000352,Vincent D'Onofrio,1959,\N,"actor,producer,soundtrack","tt0209958,tt0093058,tt0369610,tt0119654"
nm0000353,Willem Dafoe,1955,\N,"actor,soundtrack,producer","tt5649144,tt7984734,tt6938828,tt0145487"
nm0000354,Matt Damon,1970,\N,"producer,actor,soundtrack","tt0407887,tt0119217,tt0134119,tt3659388"
nm0000357,Lolita Davidovich,1961,\N,actress,"tt0110146,tt0092513,tt0329717,tt0096943"
nm0000358,Daniel Day-Lewis,1957,\N,"actor,music_department,soundtrack","tt0217505,tt0469494,tt0104691,tt0443272"
nm0000360,Rebecca De Mornay,1959,\N,"actress,soundtrack,producer","tt0396269,tt0086200,tt0089941,tt0104389"
nm0000362,Danny DeVito,1944,\N,"actor,producer,director","tt0117008,tt0094142,tt0098621,tt0103776"
nm0000365,Julie Delpy,1969,\N,"actress,writer,producer","tt0112471,tt0111507,tt0381681,tt0841044"
nm0000367,Gérard Depardieu,1948,\N,"actor,producer,soundtrack","tt0120744,tt0099699,tt0103594,tt0099334"
nm0000368,Laura Dern,1967,\N,"actress,producer,writer","tt0107290,tt0090756,tt7653254,tt2305051"
nm0000369,Matt Dillon,1964,\N,"actor,director,producer","tt0129387,tt4003440,tt0375679,tt0097240"
nm0000374,Brad Dourif,1950,\N,actor,"tt0167261,tt0073486,tt0099528,tt0095647"
nm0000375,Robert Downey Jr.,1965,\N,"actor,producer,soundtrack","tt0988045,tt4154796,tt1300854,tt0371746"
nm0000377,Richard Dreyfuss,1947,\N,"actor,producer,soundtrack","tt0073195,tt0076095,tt0069704,tt0075860"
nm0000378,Minnie Driver,1970,\N,"actress,soundtrack,producer","tt0112679,tt0496343,tt5592146,tt0119217"
nm0000379,Kirsten Dunst,1982,\N,"actress,producer,soundtrack","tt1527186,tt0110148,tt0145487,tt0110367"
nm0000380,Robert Duvall,1931,\N,"actor,producer,soundtrack","tt0068646,tt0316356,tt0118632,tt0086423"
nm0000381,Anthony Edwards,1962,\N,"actor,producer,director","tt0088000,tt0108757,tt0092099,tt0443706"
nm0000383,Jennifer Ehle,1969,\N,actress,"tt0112130,tt4919484,tt2392830,tt1790885"
nm0000385,Sam Elliott,1944,\N,"actor,producer,soundtrack","tt1517451,tt5655222,tt0118715,tt0098206"
nm0000387,Robert Englund,1947,\N,"actor,miscellaneous,soundtrack","tt0329101,tt0087800,tt0095742,tt0093629"
nm0000388,R. Lee Ermey,1944,2018,"actor,miscellaneous,producer","tt0324216,tt0093058,tt0095647,tt0114369"
nm0000389,Emilio Estevez,1962,\N,"actor,director,producer","tt3294746,tt0100994,tt0308055,tt1441912"
nm0000391,Rupert Everett,1959,\N,"actor,soundtrack,producer","tt0119738,tt0109592,tt2404639,tt0122541"
nm0000392,Morgan Fairchild,1950,\N,"actress,soundtrack,producer","tt1754944,tt0084652,tt0108778,tt0081858"
nm0000393,Peter Falk,1927,2011,"actor,producer,soundtrack","tt0281322,tt0074937,tt0093779,tt1466074"
nm0000394,Chris Farley,1964,1997,"actor,soundtrack,stunts","tt0106598,tt0114694,tt0115697,tt0118708"
nm0000395,Terry Farrell,1963,\N,"actress,soundtrack","tt0106145,tt0090685,tt0104409,tt0174378"
nm0000396,Farrah Fawcett,1947,2009,"actress,producer,soundtrack","tt0073972,tt0079285,tt0082136,tt0074812"
nm0000397,Corey Feldman,1971,\N,"actor,producer,soundtrack","tt0087298,tt0089218,tt0092005,tt0093437"
nm0000398,Sally Field,1946,\N,"actress,producer,soundtrack","tt0098384,tt0109830,tt0443272,tt0076729"
nm0000400,Linda Fiorentino,1958,\N,"actress,soundtrack","tt0120655,tt0088680,tt0110308,tt0119654"
nm0000401,Laurence Fishburne,1961,\N,"actor,producer,director","tt0234215,tt1598778,tt0133093,tt0327056"
nm0000402,Carrie Fisher,1956,2016,"actress,miscellaneous,soundtrack","tt2527336,tt0076759,tt0086190,tt0080684"
nm0000403,Bridget Fonda,1964,\N,"actress,soundtrack","tt0105414,tt0139414,tt0120324,tt0107843"
nm0000404,Jane Fonda,1937,\N,"actress,producer,soundtrack","tt0077362,tt3312830,tt0062711,tt0067309"
nm0000405,Michelle Forbes,1965,\N,actress,"tt0116225,tt1951266,tt0844441,tt0107302"
nm0000407,Vivica A. Fox,1964,\N,"actress,producer,director","tt0116629,tt1628841,tt0118688,tt0266697"
nm0000408,Jonathan Frakes,1952,\N,"actor,director,producer","tt0117731,tt0120844,tt0253754,tt0111280"
nm0000409,Brendan Fraser,1968,\N,"actor,producer,soundtrack","tt0120616,tt13833688,tt0209163,tt0375679"
nm0000411,Edward Furlong,1977,\N,"actor,producer,soundtrack","tt0103064,tt0165710,tt0990407,tt0120586"
nm0000412,Andy Garcia,1956,\N,"actor,producer,soundtrack","tt0099674,tt0349903,tt0343996,tt0240772"
nm0000413,Janeane Garofalo,1964,\N,"actress,writer,producer","tt0132347,tt0117979,tt0243655,tt0382932"
nm0000414,Teri Garr,1947,\N,"actress,soundtrack,miscellaneous","tt0085970,tt0072431,tt0075860,tt0084805"
nm0000415,Jami Gertz,1965,\N,"actress,producer,executive","tt0088128,tt0117998,tt0093437,tt0320970"
nm0000417,Crispin Glover,1964,\N,"actor,soundtrack,producer","tt0310357,tt1898069,tt0118141,tt0091860"
nm0000418,Danny Glover,1946,\N,"actor,producer,director","tt0093409,tt0104714,tt0122151,tt1190080"
nm0000420,Valeria Golino,1965,\N,"actress,director,producer","tt0095953,tt0102059,tt8613070,tt0107144"
nm0000421,Cuba Gooding Jr.,1968,\N,"actor,producer,soundtrack","tt0114069,tt0203019,tt0316465,tt0116695"
